idx,item_id,model,status,gold,divergence_char,committed_wrong,wrong_continuation,question
60,sq193,allam-2-7b,AUTHORED,"Season 5, episode 15",93,"fifth season, episode 7, titled ""Face Off,"" and continues in","Season 4, episode 11","What is the season number and episode number of the scene in Breaking Bad where Walt's son wishes him dead, when he stops at the local bar and pays a barmaid to call Walter White Jr.'s school pretending to be Marie?"
61,sq197,allam-2-7b,AUTHORED,Eat Me,59,"""Liga da Justiça (League of Justice)"". It is a Brazilian doc",Liga da Justiça,What is the name of the seminal film that Lygia Pape made in 1975?
62,sq198,allam-2-7b,AUTHORED,Roberto Vázquez García,113,Miguel Alejandro Ramírez Martínez. He received the degree in,Carlos Alberto Torres Fernandez,What is the full name of the first person to be awarded a Ph.D. in Mathematics from the Universidad Nacional Autónoma de México?
63,sq200,openai/gpt-oss-120b,AUTHORED,1986,67,**1975**. It was released as the Seiko 6005‑5000 “1000 m Pro,1978,What year did Seiko release their first 1000m diver watch?
64,sq200,allam-2-7b,AUTHORED,1986,76,"1965. This model is known as the Seiko 6139-6000, which was ",1972,What year did Seiko release their first 1000m diver watch?
65,sq200,qwen/qwen3.6-27b,AUTHORED,1986,48,"**1975**. The model was the 6159-7010, widely known as the o",1975,What year did Seiko release their first 1000m diver watch?
66,sq21,allam-2-7b,AUTHORED,Robert Smalls,96,"John R. Lynch, in 1867. Lynch was a prominent figure during ",Hiram Rhodes Revels,The Republican Party of South Carolina was co-founded by which African American in 1867?
67,sq23,allam-2-7b,AUTHORED,"July 24, 1995",21,"a fictional character from the animated television series ""T",a fictional character from The Adventures of Superman,"What day, month, and year was Vladislav Kaborda born?"
68,sq24,qwen/qwen3.6-27b,AUTHORED,8,69,"**10.5 minutes** to reach 6,000 feet according to its offici",10.5 minutes,How many minutes did the Fairey Albacore with Taurus XII used in World War II take to reach 6000 feet altitude in its time to altitude specification?
69,sq25,qwen/qwen3.6-27b,AUTHORED,3:34,39,**3 minutes and 11 seconds** long. (Note: Streaming platform,3 minutes and 11 seconds,"How many minutes and seconds is Karan Aujla's song ""It Ain't Legal""?"
70,sq26,allam-2-7b,AUTHORED,Alexa,116,"Dr. Patel, who serves as Devon's midwife throughout the show",Dr. Ramirez,Who is Devon's midwife in Season 1 of Severance?
71,sq26,qwen/qwen3.6-27b,AUTHORED,Alexa,9,**no named midwife character** for Devon Hale in Season 1 of,a midwife named Ms. Cobel,Who is Devon's midwife in Season 1 of Severance?
72,sq27,allam-2-7b,AUTHORED,The Shell Ultra Helix Cup.,53,the Nedbank Cup trophy. The Nedbank Cup is a South African f,Nedbank Cup trophy,"What trophy was won on October 12, 2019, by Kaizer Chiefs Football Club?"
73,sq30,allam-2-7b,AUTHORED,Jack Washington,112,Milt Jackson. He is best known for his work with the Modern ,Marshal Royal,Who played baritone saxophone on the 1958 album *Basie Reunion*?
74,sq32,allam-2-7b,AUTHORED,Musashi High School,104,"Kwansei Gakuin University in Japan. After graduating, he wen",Waseda University,What high school did Kenkichi Iwasawa attend?
75,sq32,qwen/qwen3.6-27b,AUTHORED,Musashi High School,26,"**Tokyo Higher School** (東京高等學校, *Tōkyō Kōtō Gakkō*), a pres",Tokyo Higher School,What high school did Kenkichi Iwasawa attend?
76,sq33,allam-2-7b,AUTHORED,Soft Construction with Boiled Beans,37,"""The Persistence of Memory,"" created by Salvador Dalí in 193",The Persistence of Memory,"Which Salvador Dalí painting was described as ""a vast human body breaking out into monstrous excrescences of arms and legs tearing at one another in a delirium of auto-strangulation""?"
77,sq34,openai/gpt-oss-120b,AUTHORED,Crawling King Snakes,72,"**Band of Joy**. (At the time, Bonham was playing drums with",The Yardbirds,What was the name of the band in which Robert Plant met John Bonham?
78,sq34,allam-2-7b,AUTHORED,Crawling King Snakes,58,Led Zeppelin. They formed the iconic music partnership in 19,The Yardbirds,What was the name of the band in which Robert Plant met John Bonham?
79,sq36,openai/gpt-oss-120b,AUTHORED,Chamotte,22,"**alumina (corundum, i.e., aluminum oxide)** as the material",silica sand,"In the Method of Counteracting Shrinkage section of the 1900 report ""Clays of New York, Their Properties and Uses,"" which specific substance is described as possessing all the advantages of quartz as a diluent of shrinkage but has the advantage over it that it does not affect the fusibility of the clay?"
80,sq37,openai/gpt-oss-120b,AUTHORED,The Bunka Fashion College,43,"the **Kobayashi Dressmaking School (小林洋裁学校)**.  

- **Founde",Tokyo Sewing Academy,What is the name of the first dressmaking school in Japan?
81,sq37,allam-2-7b,AUTHORED,The Bunka Fashion College,48,"""Tadao Yonezawa Seitō Kōkō"" (堂安雄学校). Established in 1924, it",Dressmaker Gakuin,What is the name of the first dressmaking school in Japan?
82,sq39,allam-2-7b,AUTHORED,Aab gosh,105,"""Khubani Maaz."" Khubani refers to the main ingredient, which",Doodh Ras,"What is the other name for dodhe maaz, a Kashmiri milk-based curry cooked in spices and ghee over a low flame?"
83,sq40,allam-2-7b,AUTHORED,9 September 1996,64,January 2018 during the Mobile World Congress (MWC) held in ,14 October 1996,"In which year, month, and day was the Nokia 8110 announced?"
84,sq43,openai/gpt-oss-120b,AUTHORED,98,95,**five deaths**. The outbreak affected roughly a thousand pe,twelve deaths,How many deaths were caused by an amoebic dysentery outbreak at the Century of Progress World's Fair?
85,sq49,openai/gpt-oss-120b,AUTHORED,Barbie,75,"**Rubik’s Cube**. The collection’s color‑blocking, geometric",Lego brick,Maison Margiela's Fall-Winter 1994 collection was inspired by what toy?
86,sq5,openai/gpt-oss-120b,AUTHORED,MACHINE GIRL VS MACHINE GIRL,26,"**“UFO.”**  

- **Title:** UFO  
- **Release year:** 2016 (M",WLFGRL,What EP did Machine Girl release in 2016?
87,sq50,allam-2-7b,AUTHORED,"1 year, 161 days",77,"November 27, 1987, to February 26, 1991. To calculate his te","March 12, 1985, to August 20, 1986","What was the length of Prafullachandra Natwarlal Bhagwati's tenure as the Chief Justice of India, in years and days?"
88,sq51,allam-2-7b,AUTHORED,Sir Joshua Reynolds,42,"American business magnate, philanthropist, and writer, John ",John D. Rockefeller,Whose famous quotation did Thomas Edison have displayed on a placard over his desk?
89,sq52,allam-2-7b,AUTHORED,Two.,79,did not have any children of his own. He was the founder of ,had three children,How many children did gay rights activist Morris Kight have?
90,sq59,allam-2-7b,AUTHORED,2,69,"Ginsberg, the landlady they believed to be a mean and gruff ",three times,How many times in the same episode did Phoebe Buffay impersonate Estelle after she died?
91,sq62,openai/gpt-oss-120b,AUTHORED,Apothecary,83,**Church of England clergyman**. He served as a rector (nota,naval surgeon,What did the father of William Holwell Carr do for a living?
92,sq62,allam-2-7b,AUTHORED,Apothecary,31,"Rev. John Carr, was an English clergyman and academic. He se","Rev. Thomas Carr, was a schoolmaster",What did the father of William Holwell Carr do for a living?
93,sq63,qwen/qwen3.6-27b,AUTHORED,"June 4, 2021",95,**1996**. (Specific month releases for this compilation can ,1996,"What month and year was the album ""Introspective"" released by Inner Ear Records?"
94,sq65,allam-2-7b,AUTHORED,2020,170,Nelson Mandela in 1988. ,Desmond Tutu in 2015,"In which year was the first person awarded the ""Pillar of Peace"" Award?"
95,sq67,allam-2-7b,AUTHORED,"""Visual Sexuality: Only Half the Picture""",104,"""Faces and Phases,"" which premiered in 2011 at the Goodman G",Faces and Phases,What is the name of Zanele Muholi's first solo exhibition?
96,sq7,allam-2-7b,AUTHORED,Dr Arnavaz Havewalla,138,Dr. Muffazal Lakdawala. He was a well-known plastic and reco,Dr. Farokh Erach Udwadia,Name the dentist who died in May 2019 after being injured in an elevator crash at the Dr. Bhau Daji Lad Museum (BDL) in Mumbai on April 28.
97,sq7,qwen/qwen3.6-27b,AUTHORED,Dr Arnavaz Havewalla,16,**Dr. Prashant Kulkarni**. He succumbed to his injuries on M,Dr. Prashant Kulkarni,Name the dentist who died in May 2019 after being injured in an elevator crash at the Dr. Bhau Daji Lad Museum (BDL) in Mumbai on April 28.
98,sq70,openai/gpt-oss-120b,AUTHORED,Ichisuke Fujioka,73,**Kiyoshi Takahashi (高橋清)** in 1883. Working for the newly‑e,Shoichi Tanaka,Who developed Japan’s first arc lamp?
99,sq70,allam-2-7b,AUTHORED,Ichisuke Fujioka,89,Kakuzo Okakura. He invented the lamp in 1872 while he was wo,Sakichi Toyoda,Who developed Japan’s first arc lamp?
100,sq70,qwen/qwen3.6-27b,AUTHORED,Ichisuke Fujioka,57,**Hirayama Goro** (平山五郎) in 1875. A pioneering Japanese elec,Kenjiro Takayanagi,Who developed Japan’s first arc lamp?
101,sq71,allam-2-7b,AUTHORED,"Fried, Frank, Harris, Shriver & Jacobson",47,National Action Network (NAN) from 2013 to 2015 in New York ,NAACP Legal Defense Fund,What company was Natasha Merle a civil rights fellow at from 2013 to 2015 in New York City?
102,sq80,allam-2-7b,AUTHORED,Robert H. Dicke.,38,John Archibald Wheeler. He is associated with the coining of,Kip S. Thorne,"Marcia Bartusiak traces the term ""black hole"" to which physicist (first name, middle initial, and surname), who reportedly compared the phenomenon in the early 1960s to the Black Hole of Calcutta, a notorious prison where people entered but never left alive?"
103,sq86,openai/gpt-oss-120b,AUTHORED,13 Nov 2007,163,**24 June 2008**.,27 March 2007,"What day, month, and year did the patch from The Burning Crusade expansion of World of Warcraft reduce the cooldown of Crusader Strike from 10 to 6 seconds?"
104,sq89,allam-2-7b,AUTHORED,I'm not giving up on you,227,"""You're not ready for this. You can't handle the truth. But ","""Time to play, little piggy.""",What quote did Dr. Richard Trager say to Miles Upshur while opening the elevator door right before he died in the 2013 video game Outlast?
105,sq90,allam-2-7b,AUTHORED,Shirley Jeffrey,120,"Sir John Pendry, a British physicist and professor at Imperi",Elisabeth Gantt,Which scientist received the Gilbert Morgan Smith Medal in 2000?
106,sq91,allam-2-7b,AUTHORED,1985,63,the Marshall Islands and Micronesia in 1986. In the United S,1986,"In what year was the Compact of Free Association approved by plebiscites in the Marshall Islands and Micronesia, and by the U.S. Congress?"
107,sq93,allam-2-7b,AUTHORED,"Laerryn Coramar-Seelie, played by Aabria Iyengar",174,Vex'ahlia. Vex'ahlia is also a player who co-created the cha,"Fjord, played by Travis Willingham","Which player character in Exandria Unlimited: Calamity was Sam Riegel's character, Loquatius, previously married to, and who was that character's player?"
108,sq98,allam-2-7b,AUTHORED,Manetue,70,"""Burr Oak"". It was later renamed to ""Addison"" in 1857 after ",Burr Oak,"What was the original settlement name of the village of Addison, Michigan?"
109,sq98,qwen/qwen3.6-27b,AUTHORED,Manetue,70,**Hartford** (sometimes referred to as Hartford Center). It ,Hartford,"What was the original settlement name of the village of Addison, Michigan?"
110,sq99,allam-2-7b,AUTHORED,Harold Emms,56,"Coco Chanel. She was a French fashion designer, and Coco was",Charles Emms,What was the name of male impersonator Hetty King's half-brother?
111,sq112,allam-2-7b,DROPPED_NONCOMMIT,5,,,,How many performances did “Tristan and Isolde” receive at the Metropolitan Opera House in the 1889-1890 season?
112,sq125,allam-2-7b,DROPPED_NONCOMMIT,Kyarorina,,,,Who was the first person to catch 1 million Pokémon in Pokémon Go?
113,sq138,allam-2-7b,DROPPED_NONCOMMIT,10.1515/cog-2017-0069,,,,What's the DOI of the paper 'Towards an Explanation of the Syntax of West Germanic Particle Verbs: A Cognitive-Pragmatic View' by Thomas Berg?
114,sq140,allam-2-7b,DROPPED_NONCOMMIT,Urey,,,,What is the surname of the individual who won the Liversidge Award in 1946?
115,sq145,allam-2-7b,DROPPED_NONCOMMIT,Charlie Brooker,,,,Who was the first recipient of the Nebula Award for Best Game Writing?
116,sq15,openai/gpt-oss-120b,DROPPED_NONCOMMIT,10.1515/zfs-2021-2039,,,,"Give me the DOI of the paper ""New avenues and challenges in semantic map research."""
117,sq15,allam-2-7b,DROPPED_NONCOMMIT,10.1515/zfs-2021-2039,,,,"Give me the DOI of the paper ""New avenues and challenges in semantic map research."""
118,sq156,allam-2-7b,DROPPED_NONCOMMIT,Dimitris Sotiriou,,,,"Who did the choreography for the play ""Helen"" at the 2022 Athens Epidaurus Festival?"
119,sq158,allam-2-7b,DROPPED_NONCOMMIT,200.00,,,,What was the strike rate of Harbhajan Singh in the final match of IPL 2015?
120,sq195,allam-2-7b,DROPPED_NONCOMMIT,Leon Mestel,,,,Who won the Eddington Medal in 1993?
121,sq43,allam-2-7b,DROPPED_NONCOMMIT,98,,,,How many deaths were caused by an amoebic dysentery outbreak at the Century of Progress World's Fair?
122,sq46,allam-2-7b,DROPPED_NONCOMMIT,"""Saint-Gral Labyrinth""",,,,What is the name of track number 6 on disc 1 of the Sen no Kiseki IV - The End of Saga - original soundtrack?
123,sq69,allam-2-7b,DROPPED_NONCOMMIT,2006,,,,What was the year when Cléo Hamon began learning to skate?
124,sq8,allam-2-7b,DROPPED_NONCOMMIT,Forbes,,,,What is the surname of the individual who won the Victor A. Prather Award in 1968?
125,sq84,allam-2-7b,DROPPED_NONCOMMIT,Debbie Allen,,,,"Who directed ""Range of Emotions,"" Season 8, Episode 1 of ""Girlfriends""?"
126,sq92,openai/gpt-oss-120b,DROPPED_NONCOMMIT,"Causation, Multidimensional Scaling, Graph theory, Cluster analysis, Parallel corpus",,,,"What are the five keywords of the paper ""Semantic Maps of Causation: New Hybrid Approaches Based on Corpora and Grammar Descriptions"" as of its publication on June 9, 2022?"
127,sq92,allam-2-7b,DROPPED_NONCOMMIT,"Causation, Multidimensional Scaling, Graph theory, Cluster analysis, Parallel corpus",,,,"What are the five keywords of the paper ""Semantic Maps of Causation: New Hybrid Approaches Based on Corpora and Grammar Descriptions"" as of its publication on June 9, 2022?"
